id|insee|zip|name|slug|latitude|longitude|departments_id|departments_code|departments_name|departments_slug|regions_id|code|regions_name|regions_slug
80|01085|01240|La Chapelle-du-Châtelard|la chapelle du chatelard|46.07192394636|5.0238535249042|1|01|Ain|ain|16|84|Auvergne-Rhône-Alpes|auvergne rhone alpes
81|01087|01130|Charix|charix|46.188639444444|5.683287|1|01|Ain|ain|16|84|Auvergne-Rhône-Alpes|auvergne rhone alpes
82|01088|01800|Charnoz-sur-Ain|charnoz sur ain|45.873123802817|5.2199981690141|1|01|Ain|ain|16|84|Auvergne-Rhône-Alpes|auvergne rhone alpes
83|01089|01500|Château-Gaillard|chateau gaillard|45.964916548673|5.3028414159292|1|01|Ain|ain|16|84|Auvergne-Rhône-Alpes|auvergne rhone alpes
84|01090|01320|Châtenay|chatenay|46.027040620155|5.2063486821705|1|01|Ain|ain|16|84|Auvergne-Rhône-Alpes|auvergne rhone alpes
85|01091|01200|Châtillon-en-Michaille|chatillon en michaille|46.129789519231|5.7723086538462|1|01|Ain|ain|16|84|Auvergne-Rhône-Alpes|auvergne rhone alpes
86|01092|01320|Châtillon-la-Palud|chatillon la palud|45.973948055556|5.2385538194444|1|01|Ain|ain|16|84|Auvergne-Rhône-Alpes|auvergne rhone alpes
87|01093|01400|Châtillon-sur-Chalaronne|chatillon sur chalaronne|46.121240208333|4.9594278125|1|01|Ain|ain|16|84|Auvergne-Rhône-Alpes|auvergne rhone alpes
88|01094|01190|Chavannes-sur-Reyssouze|chavannes sur reyssouze|46.436287058824|5.0009959558823|1|01|Ain|ain|16|84|Auvergne-Rhône-Alpes|auvergne rhone alpes
89|01095|01250|Nivigne et Suran|nivigne et suran|46.287250322581|5.4291164919355|1|01|Ain|ain|16|84|Auvergne-Rhône-Alpes|auvergne rhone alpes
90|01096|01660|Chaveyriat|chaveyriat|46.203152298851|5.05054|1|01|Ain|ain|16|84|Auvergne-Rhône-Alpes|auvergne rhone alpes
91|01097|01510|Chavornay|chavornay|45.882759880952|5.7273460714286|1|01|Ain|ain|16|84|Auvergne-Rhône-Alpes|auvergne rhone alpes
92|01098|01300|Chazey-Bons|chazey bons|45.802649|5.681342|1|01|Ain|ain|16|84|Auvergne-Rhône-Alpes|auvergne rhone alpes
93|01098|01510|Chazey-Bons|chazey bons|45.802649|5.681342|1|01|Ain|ain|16|84|Auvergne-Rhône-Alpes|auvergne rhone alpes
94|01099|01150|Chazey-sur-Ain|chazey sur ain|45.897791764706|5.257502254902|1|01|Ain|ain|16|84|Auvergne-Rhône-Alpes|auvergne rhone alpes
95|01100|01510|Cheignieu-la-Balme|cheignieu la balme|45.821699632353|5.6004818382353|1|01|Ain|ain|16|84|Auvergne-Rhône-Alpes|auvergne rhone alpes
96|01101|01430|Chevillard|chevillard|46.109148734177|5.579233164557|1|01|Ain|ain|16|84|Auvergne-Rhône-Alpes|auvergne rhone alpes
97|01102|01190|Chevroux|chevroux|46.382223136095|4.9651795857988|1|01|Ain|ain|16|84|Auvergne-Rhône-Alpes|auvergne rhone alpes
98|01103|01170|Chevry|chevry|46.28400972973|6.0452245045045|1|01|Ain|ain|16|84|Auvergne-Rhône-Alpes|auvergne rhone alpes
99|01104|01200|Chézery-Forens|chezery forens|46.1202119|5.7896126|1|01|Ain|ain|16|84|Auvergne-Rhône-Alpes|auvergne rhone alpes
100|01104|01410|Chézery-Forens|chezery forens|46.223054|5.868303|1|01|Ain|ain|16|84|Auvergne-Rhône-Alpes|auvergne rhone alpes
101|01105|01390|Civrieux|civrieux|45.918154210526|4.8847947368421|1|01|Ain|ain|16|84|Auvergne-Rhône-Alpes|auvergne rhone alpes
102|01106|01250|Cize|cize|46.198540517241|5.4512146551724|1|01|Ain|ain|16|84|Auvergne-Rhône-Alpes|auvergne rhone alpes
103|01107|01230|Cleyzieu|cleyzieu|45.902384545455|5.4327284848485|1|01|Ain|ain|16|84|Auvergne-Rhône-Alpes|auvergne rhone alpes
104|01108|01270|Coligny|coligny|46.384596901961|5.326589372549|1|01|Ain|ain|16|84|Auvergne-Rhône-Alpes|auvergne rhone alpes
